english,german,label
Please turn in the report by the end of the month.,Bitte reichen Sie Ihren Bericht bis zum Monatsende ein!,0
Can I work here?,Kann ich hier arbeiten?,0
We really need a man like you here.,Wir brauchen hier wirklich einen Mann wie dich.,0
Tell me the reason why they are absent.,"Sage mir, warum sie nicht anwesend sind!",0
I am looking forward to visiting Britain once again.,"Ich freue mich darauf, erneut Britannien zu besuchen.",0
We have time.,Wir haben Zeit.,0
I can't go back in there.,Ich kann da nicht wieder reingehen.,0
I still prefer to write letters by hand.,Ich schreibe Briefe immer noch bevorzugt mit der Hand.,0
I have a ringing in my ears.,Ich habe ein Klingeln in meinen Ohren.,0
I bought you a present.,Ich habe dir ein Geschenk gekauft.,0
He's on his way.,Er ist unterwegs.,0
"Excuse me sir, could you spare some change?","Entschuldigen Sie, haben Sie etwas Kleingeld für mich?",0
I couldn't get another copy of the book.,Ich konnte kein weiteres Exemplar des Buches bekommen.,0
Life's purpose is to be happy.,"Der Sinn des Lebens ist es, glücklich zu sein.",0
"For here, or to go?",Zum Mitnehmen oder zum Hieressen?,0
Have you read the book yet?,Haben Sie das Buch bereits gelesen?,0
Don't judge a book by its cover.,Man soll ein Buch nicht nach seinem Einband beurteilen.,0
Do you like dogs?,Mögen Sie Hunde?,0
I don't want to tell you my dreams.,Ich möchte dir meine Träume nicht erzählen.,0
I can hardly stand it.,Ich kann es kaum aushalten.,0
How do you know when you've found the right person for the job?,"Woher weiß man, ob man die Richtige für die Aufgabe gefunden hat?",0
We arrived here in the evening.,Wir sind hier abends angekommen.,0
Have you ever been fingerprinted?,Sind euch schon einmal Fingerabdrücke abgenommen worden?,0
I met her by chance in the library.,Ich traf sie zufällig in der Bibliothek.,0
My sister is a good swimmer.,Meine Schwester ist eine gute Schwimmerin.,0
Thanks for staying with me.,"Danke, dass ihr bei mir geblieben seid!",0
The train will arrive at ten o'clock.,Der Zug kommt um 10 Uhr an.,0
Why are you undressing?,Warum zieht ihr euch aus?,0
I'd be happy to sing for you.,"Es würde mich glücklich machen, für dich zu singen.",0
He lives in a little cozy house.,"Er wohnt in einem kleinen, gemütlichen Haus.",0
Your mother loves me.,Deine Mutter liebt mich.,0
Their ideas seem totally alien to us.,Ihre Ideen erscheinen uns vollkommen fremdartig.,0
That would be outstanding.,Das wäre herausragend.,0
Mary is wearing a white dress today.,Maria trägt heute ein weißes Kleid.,0
I'm sorry that I haven't been able to be here for you like I should have been.,"Es tut mir leid, dass ich nicht hier sein konnte für dich, wie ich es hätte sein sollen.",0
We found footprints in the sand.,Wir fanden Fußspuren im Sand.,0
Did you ever try?,Habt ihr es jemals versucht?,0
One of my sons is a doctor and the other is a lawyer.,Einer meiner Söhne ist Arzt; der andere ist Rechtsanwalt.,0
Carry this.,Trag das.,0
It sounded too farfetched.,Das klang zu weit hergeholt.,0
Can you get a day off?,Können Sie sich einen Tag freinehmen?,0
We don't have a problem.,Wir haben kein Problem.,0
I will help as much as I can.,"Ich werde helfen, so gut ich kann.",0
"You may not remember me, but I remember you.","Du erinnerst dich vielleicht nicht an mich, ich erinnere mich aber an dich.",0
I might've left it on the table.,Ich könnte es auf dem Tisch gelassen haben.,0
The milk is in the fridge.,Die Milch ist im Kühlschrank.,0
You can wear your undershirt.,Du kannst dein Unterhemd anziehen.,0
Someone left a burning cigarette on the table.,Jemand ließ eine brennende Zigarette auf dem Tisch liegen.,0
I had my bicycle fixed by my brother.,Ich habe mein Fahrrad von meinem Bruder reparieren lassen.,0
I don't want to talk to him anymore.,Ich will nicht mehr mit ihm reden.,0
The cabin had no water or electricity.,In der Hütte gab es weder Strom noch Wasser.,0
I'm sick of lying.,Ich bin es leid zu lügen.,0
Do you have time to read the newspaper in the morning?,"Hast du Zeit, des Morgens die Zeitung zu lesen?",0
Do you like folk music?,Magst du Volksmusik?,0
"Can I have a beer, please?",Kann ich bitte ein Bier haben?,0
We want to talk to you about that.,Wir wollen mit dir darüber sprechen.,0
She made her mother happy.,Sie machte ihre Mutter froh.,0
I'll never stop.,Ich werde nie aufhören.,0
You're invited.,Ihr seid eingeladen.,0
This medicine will give you some relief.,Diese Arznei wird Ihnen etwas Erleichterung verschaffen.,0
I like to swim in salt water.,Ich schwimme gerne in Salzwasser.,0
Mary asked Alice if she could borrow a dress to wear to the dance.,"Maria fragte Elke, ob sie sich für den Tanz ein Kleid ausleihen dürfe.",0
Which one is mine?,Welches ist meins?,0
She advised him that he should stay at home.,"Sie riet ihm, daheim zu bleiben.",0
I was proud of you.,Ich war stolz auf euch.,0
They've been arrested.,Sie sind verhaftet worden.,0
I didn't say that you were lying.,"Ich habe nicht gesagt, dass du lügst.",0
The stock price index soared to an all-time high.,Der Aktienindex stieg auf ein Allzeithoch.,0
They accomplished their mission.,Sie erfüllten ihre Mission.,0
The storm will make it impossible for the ship to leave port.,"Der Sturm wird es für das Schiff unmöglich machen, den Hafen zu verlassen.",0
Can you believe that?,Könnt ihr das glauben?,0
How was your summer?,Wie war dein Sommer?,0
That may easily have been a mistake.,Das könnte genauso gut ein Fehler gewesen sein.,0
It's clear to everyone.,Es ist für alle offensichtlich.,0
She burst into laughter.,Sie brach in schallendes Gelächter aus.,0
Is everything OK at the office?,Ist im Büro alles in Ordnung?,0
Don't touch that pan! It's very hot.,"Fass diese Pfanne nicht an, sie ist sehr heiß!",0
Why don't you clean your room now?,Räume dein Zimmer doch jetzt gleich auf!,0
You can have this watch for nothing.,Du kannst die Uhr umsonst bekommen.,0
You could hear a pin drop.,Man konnte eine Stecknadel fallen hören.,0
His garden is a work of art.,Sein Garten ist ein Kunstwerk.,0
I'm very discontented.,Ich bin sehr unzufrieden.,0
"If people never fell in love or got their hearts broken when love fails, what would lyricists write their songs about?","Wenn der Mensch sich nie verliebte oder ihm niemals das Herz gebrochen würde, wenn die Liebe scheitert, worüber sollten die Lyriker dann ihre Lieder schreiben?",0
I don't know if I can ever trust you again.,"Ich weiß nicht, ob ich dir jemals wieder werde vertrauen können.",0
Do you have any tattoos?,Haben Sie Tätowierungen?,0
I lost consciousness.,Ich verlor das Bewusstsein.,0
What is the jacket made of?,Aus welchem Stoff ist die Jacke gemacht?,0
Thanks for ironing my clothes for me.,"Danke, dass du mir die Sachen bügelst!",0
I warned you not to trust me.,"Ich habe dich ja gewarnt, dass du mir nicht trauen sollst!",0
I'm not going to do it.,Ich werde es nicht tun.,0
Who did you give it to?,Wem haben Sie es gegeben?,0
You sent me your photo.,Du hast mir dein Foto gesandt.,0
I've never seen this place so deserted.,"Ich habe noch nie erlebt, dass es hier so leer war.",0
I'll do it tomorrow. I promise.,Ich tu’s morgen. Versprochen!,0
Most boys like computer games.,Die meisten Jungen mögen Computerspiele.,0
His briefcase was filled with water.,Seine Brieftasche war voll mit Wasser.,0
All you can do is to wait.,Alles was du tun kannst ist warten.,0
I was sick.,Ich war krank.,0
Country roads aren't as crowded as city roads.,Landstraßen sind nicht so stark befahren wie Straßen in der Stadt.,0
Are you studying?,Lernst du gerade?,0
The river is 35 meters across.,Der Fluss ist 35 Meter breit.,0
He knocked on the closed door.,Er klopfte an die geschlossene Tür.,0
We'll never see you again.,Wir werden uns nie wiedersehen.,0
I love video games.,Ich mag Videospiele.,0
She took care of his wound.,Sie versorgte seine Wunde.,0
Find out what kind of a person he is.,"Finde heraus, was er für ein Mensch ist!",0
I really should be getting to bed.,Ich sollte eigentlich ins Bett gehen.,0
My parents have been married since before I was born.,"Meine Eltern haben geheiratet, bevor ich geboren wurde.",0
He didn't use to drink.,Früher hat er nicht getrunken.,0
Not all of the staff was present.,Nicht das gesamte Personal war anwesend.,0
The submarine can dive up to 300 meters.,Das U-Boot kann bis zu dreihundert Meter tief tauchen.,0
This hat cost ten dollars.,Dieser Hut kostete mich 10 Dollar.,0
She took full advantage of the opportunity.,Sie nutzte die Gelegenheit voll aus.,0
Do you go jogging every day?,Gehst du jeden Tag joggen?,0
Can you tell me where the train station is?,"Könnt ihr mir sagen, wo der Bahnhof ist?",0
Thank you for helping me with my essay.,"Danke, dass Sie mir bei meinem Aufsatz geholfen haben!",0
"If I had known your telephone number, I would have called you.","Hätte ich deine Telefonnummer gekannt, hätte ich dich angerufen.",0
Even a child would notice the difference.,Sogar ein Kind würde den Unterschied merken.,0
I like jazz music.,Ich mag Jazzmusik.,0
It's almost impossible.,Das ist fast unmöglich.,0
He was making his way through the crowd.,Er bahnte sich seinen Weg durch die Menge.,0
Can you get something to eat in there?,Kann man darin etwas zu essen kaufen?,0
He grows vegetables in his garden.,Er baut in seinem Garten Gemüse an.,0
Don't you have a bike?,Hast du kein Fahrrad?,0
I don't watch that program anymore.,Ich sehe mir dieses Programm nicht mehr an.,0
Seemingly impossible things sometimes happen.,Bisweilen geschieht das scheinbar Unmögliche.,0
I can't believe you're taking pictures of cockroaches.,"Ich kann nicht glauben, dass du Fotos von Küchenschaben machst.",0
It's been raining a lot lately.,In letzter Zeit regnet es viel.,0
I don't know how to prove this math equation.,"Ich weiß nicht, wie ich diese mathematische Gleichung lösen soll.",0
I'll have something for you soon.,Ich werde bald etwas für euch haben.,0
"I can read German, but I can't speak it.","Ich kann Deutsch lesen, aber ich kann es nicht sprechen.",0
It happens every night.,Es geschieht jede Nacht.,0
"He's a man of his word, so you can count on him.",Er ist ein Mann seines Wortes; du kannst dich also auf ihn verlassen.,0
Sunday is the first day of the week.,Sonntag ist der erste Tag der Woche.,0
I like it very much.,Ich mag es wirklich sehr.,0
You'd better knuckle down to work.,Mach dich besser an die Arbeit.,0
I have a garden.,Ich habe einen Garten.,0
I'm early.,Ich bin früh dran.,0
I've ordered a book from Amazon.com.,Ich habe ein Buch bei Amazon.com bestellt.,0
Voice of America broadcasts from Washington.,"Die ""Voice of America"" sendet aus Washington.",0
I'm old-fashioned.,Ich bin altmodisch.,0
It needs washing.,Man muss ihn waschen.,0
Let's talk about what happened.,"Lassen Sie uns darüber reden, was passiert ist.",0
"Be polite, but firm.","Seien Sie höflich, doch bestimmt.",0
When did you get home?,Wann sind Sie nach Hause gekommen?,0
We're finished here.,Wir sind hier fertig.,0
"If you tell people what they want to hear, they'll do what you want.","Wenn du den Menschen sagst, was sie hören wollen, werden sie machen, was du willst.",0
What are the measurements of the shelf?,Was sind die Maße des Regals?,0
I don't have a ticket.,Ich habe kein Ticket.,0
We'd like a room for two with a bath.,Wir hätten gern ein Zimmer für zwei mit Bad.,0
I hope you had a good night's sleep.,"Ich hoffe, ihr habt gut geschlafen.",0
I am confronted with a difficult problem.,Ich sehe mich einem schwierigen Problem gegenüber.,0
Can any of you tell me what happened?,"Kann mir irgendjemand von Ihnen sagen, was passiert ist?",0
I barely feel the pain anymore.,Ich habe kaum noch Schmerzen.,0
It's not going to work now.,Das wird jetzt nicht funktionieren.,0
We can't work under these conditions.,Wir können unter diesen Bedingungen nicht arbeiten.,0
"If I were rich, I'd give you money.","Wenn ich reich wäre, gäbe ich dir Geld.",0
My mother is always on the go.,Meine Mutter ist immer auf Trab.,0
I'm still not convinced it's going to work.,"Ich bin immer noch nicht überzeugt, dass das funktionieren wird.",0
You need not go there.,Du musst da nicht hingehen.,0
Not all birds build nests.,Nicht alle Vögel bauen Nester.,0
I just want to get some sleep.,Ich will einfach nur ein bisschen schlafen.,0
Come on up here.,Komme hier herauf!,0
We're working on it now.,Wir arbeiten jetzt daran.,0
It's easier to teach children than to teach adults.,Kindern ist leichter etwas beizubringen als Erwachsenen.,0
I told you I don't know how to do that.,"Ich habe dir doch gesagt, dass ich nicht weiß, wie man das macht.",0
I already know.,Das weiß ich schon.,0
He always keeps his promises.,Er hält sein Versprechen immer.,0
I can't imagine a world without you.,Ich kann mir eine Welt ohne dich nicht vorstellen.,0
You're on the right track.,Du bist auf dem richtigen Weg.,0
We have a lot to talk about.,"Es gibt viel, worüber wir reden müssen.",0
We've done nothing.,Wir haben nichts getan.,0
He's a good liar.,Er ist ein guter Lügner.,0
He seldom gets sick because he is careful about his health.,"Er wird selten krank, da er sorgfältig mit seiner Gesundheit umgeht.",0
We received an immediate answer to our letter.,Wir erhielten eine unmittelbare Antwort auf unseren Brief.,0
Tell me over dinner.,Erzähl es mir beim Abendessen.,0
Skiing is my favorite sport.,Skifahren ist mein Lieblingssport.,0
I never asked for this.,Ich habe nie darum gebeten.,0
I can't see the road signs in this fog.,Ich sehe die Straßenschilder in diesem Nebel nicht.,0
I read a lot of books.,Ich lese viele Bücher.,0
Does anybody want anything else?,Möchte jemand noch irgend etwas haben?,0
How long do you think it would take you to paint my house?,"Was glauben Sie, wie lange Sie dafür brauchen werden, das Haus zu streichen?",0
Have you been waiting a long time?,Wartet ihr schon lange?,0
Thanks. I appreciate it.,Danke! Ich weiß das zu schätzen!,0
May I have permission to board?,"Erlaubnis, an Bord kommen zu dürfen?",0
I can't tell what it is.,"Ich kann nicht sagen, was es ist.",0
I like this school.,Ich mag diese Schule.,0
"My aunt, who lives in Tokyo, sent me a beautiful blouse.","Meine Tante, die in Tokio lebt, hat mir eine schöne Bluse geschickt.",0
Turn left at the corner.,Geh an der Ecke nach links.,0
The farmers didn't know what to do.,"Die Bauern wussten nicht, was zu tun ist.",0
I have to agree with you.,Ich muss dir zustimmen.,0
He's active and fit.,Er ist aktiv und fit.,0
That is no business of yours.,Das geht euch nichts an.,0
How much is the annual membership fee?,Was kostet die Mitgliedschaft jährlich?,0
I need to go to the store to buy some eggs.,Ich muss Eier einkaufen.,0
It depends on how you deal with it.,"Es kommt darauf an, wie du damit umgehst.",0
Do you really want to know the truth?,Willst du wirklich die Wahrheit wissen?,0
That dispute has been settled once and for all.,Der Streit wurde ein für alle Mal beigelegt.,0
I love this mobile phone.,Ich liebe dieses Handy.,0
"I want to travel this summer, but I don't know where to go.","Ich möchte diesen Sommer verreisen, aber ich weiß nicht wohin.",0
I can't understand his feelings.,Ich kann seine Gefühle nicht verstehen.,0
He is writing a book.,Er schreibt ein Buch.,0
I loved you.,Ich liebte dich.,0
I want to go to the park.,Ich möchte in den Park gehen.,0
It's obvious why his stomach hurts.,"Es ist ja offensichtlich, warum ihm sein Bauch wehtut.",0
"She looked in her bag for the key of the house, but could not find it.","Sie suchte in ihrer Tasche nach dem Hausschlüssel, konnte ihn aber nicht finden.",0
Mother is busy cooking the dinner.,Meine Mutter ist mit der Zubereitung des Abendessens beschäftigt.,0
He called me up almost every day.,Er rief mich fast täglich an.,0
All the seats are booked.,Alle Plätze sind ausgebucht.,0
"Two beers, please.","Zwei Bier, bitte!",0
It is going to rain this afternoon.,Heute Nachmittag wird es regnen.,0
We're very curious.,Wir sind sehr neugierig.,0
We're speechless.,Wir sind sprachlos.,0
I'm inclined to agree with you.,"Ich bin geneigt, dir zuzustimmen.",0
I love to learn new things.,Ich lerne gern etwas Neues.,0
Could you please say that again?,Könntest du das bitte noch einmal sagen?,0
The two of them fought for the prize.,Die beiden kämpften um den Preis.,0
Mary and Alice are identical twins.,Maria und Elke sind eineiige Zwillinge.,0
They ate and drank wine.,Sie aßen und tranken Wein.,0
It's not as bad as it seems.,"Es ist nicht so schlecht, wie es scheint.",0
I'm listening to Björk's latest song.,Ich höre gerade den neusten Song von Björk.,0
Begging is prohibited by law.,Betteln ist per Gesetz untersagt.,0
Could you please wait until I'm finished?,"Könntest du bitte warten, bis ich fertig bin?",0
This is the car I spoke of the other day.,"Das ist das Auto, über das ich neulich gesprochen habe.",0
The rules aren't important.,Die Regeln sind unwichtig.,0
I met him then for the first time.,Ich traf ihn damals das erste Mal.,0
That's not what you said last night.,Das hast du gestern Abend nicht gesagt.,0
He is two years older than you.,Er ist zwei Jahre älter als ihr.,0
"It may look easy, but it's not.",Es mag einfach aussehen; das ist es aber nicht.,0
I don't want to study today.,Heute habe ich zum Lernen keine Lust.,0
Are you going to stay there for long?,Wirst du dort lange bleiben?,0
How many weeks of vacation do you have?,Wie viele Urlaubswochen haben Sie?,0
"You wouldn't happen to have a knife on you, would you?","Du hast wohl nicht zufällig ein Messer dabei, oder?",0
I'm sorry. I'll never lie to you again.,Es tut mir leid. Ich werde dich nie wieder belügen.,0
Let's hit the sack.,Lass uns schlafen gehen.,0
I'll leave the second or third of next month.,Ich reise am Zweiten oder Dritten des nächsten Monats ab.,0
I want to go to America someday.,Ich will eines Tages mal nach Amerika.,0
I thought it was common knowledge.,"Ich dachte, das wäre allgemein bekannt.",0
She got married to him.,Sie hat ihn geheiratet.,0
You have to put off your departure for England till next week.,Sie müssen Ihre Abreise nach England auf nächste Woche verschieben.,0
All the old magazines are sold out.,Alle die alten Zeitschriften sind ausverkauft.,0
He doesn't mean to be mean. It's just his nature.,"Er hatte nicht vor, fies zu sein. Es war halt seine Natur.",0
Is your family OK?,Ist deine Familie in Ordnung?,0
"I'm really sorry, but I seem to have misplaced your scarf.","Es tut mir aufrichtig leid, aber ich glaube, ich habe Ihren Schal verlegt.",0
My French has improved a lot.,Mein Französisch ist schon viel besser geworden.,0
Don't give up!,Gib es nicht auf!,0
The American Civil War is the central theme of the book.,Der amerikanische Bürgerkrieg ist des Buches Hauptthema.,0
Let's get on with the meeting.,Fahren wir mit der Sitzung fort!,0
You're too skinny.,Du bist zu mager.,0
Which of those girls do you like?,Welches der Mädchen magst du?,0
Our parents took care of us and now it's our turn to take care of them.,"Erst kümmerten sich unsere Eltern um uns, und nun sind wir an der Reihe, uns um sie zu kümmern.",0
There wasn't anyone in the room.,Es war keiner im Zimmer.,0
It will be snowing tomorrow.,Es wird morgen schneien.,0
One of the men asked me to show him the way to the train station.,"Einer der Männer bat mich, ihm den Weg zum Bahnhof zu weisen.",0
I'd rather go to Boston.,Ich würde lieber nach Boston gehen.,0
These are very big apples.,Das sind sehr große Äpfel.,0
She has a little bread.,Sie hat ein bisschen Brot.,0
She killed herself yesterday.,Sie nahm sich gestern das Leben.,0
He is washing a car.,Er wäscht ein Auto.,0
That's my answer.,Das ist meine Antwort.,0
