ID,German_MP,German_FP,Gender-Neutral,Gender-Inclusive,English
0,Die Dispatcher,Die Dispatcherinnen,,die Dispatcher*innen,The dispatchers
1,Die Stellvertreter,Die Stellvertreterinnen,Die Stellvertretung,die Stellvertreter*innen,The deputies
2,Die Siedler,Die Siedlerinnen,Die Ansässigen; die Siedelnden,die Siedler*innen,The settlers
3,Die Grundschüler,Die Grundschülerinnen,Die Grundschulkinder,die Grundschüler*innen,The primary school pupils
4,Die Rezipienten,Die Rezipientinnen,Die Rezipierenden; Publikum,die Rezipient*innen,The recipients
5,Die Reformer,Die Reformerinnen,Die reformierende Personen; die Reformpersonen,die Reformer*innen,The reformers
9,Die Kollegen,Die Kolleginnen,Die Kollegschaft;  das Kollegium; das Teammitglieder;  das Team,die Kolleg*innen,The colleagues
10,Die Kursteilnehmer,Die Kursteilnehmerinnen,Die am Kurs teilnehmende Personen,die Kursteilnehmer*innen,The course participants
11,Die Patienten,Die Patientinnen,Die zu behandelnden Personen;  die kranken Personen;  die zu versorgenden Personen; die hilfesuchenden Personen; die stationär aufgenommenen Personen,die Patient*innen,The patients
12,Die Bergsteiger,Die Bergsteigerinnen,Die Bergbegeisterten; die Bergsteigenden,die Bergsteiger*innen,The mountaineers
14,Die Kindertagepfleger,Die Kindertagepflegerinnen,Die Kindertagespflegepersonen,die Kindertagpfleger*innen,The children's day carers
16,Die Keramiker,Die Keramikerinnen,Die Keramikfachkräfte,die Keramiker*innen,The ceramists
17,Die Pazifisten,Die Pazifistinnen,Die Friedensbewegten,die Pazifist*innen,The pacifists
18,Die Unterzeichner,Die Unterzeichnerinnen,Die unterzeichnenden Personen; die unterzeichnenden Parteien,die Unterzeichner*innen,The signees
19,Die Unterzeichner,Die Unterzeichnerinnen,Die unterzeichnenden Personen; die unterzeichnenden Parteien,die Unterzeichner*innen,The addressers
20,Die Berater,Die Beraterinnen,Die Beratenden,die Berater*innen,The counsellors
21,Die Auftragnehmer,Die Auftragnehmerinnen,Die Auftragnehmenden,die Auftragnehmer*innen,The contractors
22,Die Koordinatoren,Die Koordinatorinnen,Die Koordination,die Koordinator*innen,The coordinators
23,Die Suprematisten,Die Suprematistinnen,,die Suprematist*innen,The supremacists
24,Die Beschäftigte,Die Beschäftigte,Die Arbeitskräfte; die beschäftigte Personen; die angestellten Personen; die Personen im Beschäftigungsverhältnis,die Beschäftigten,The employees
25,Die Investoren,Die Investorinnen,Die geldgebenden Personen; die investierenden Personen,die Investor*innen,The investors
26,Die Blogger,Die Bloggerinnen,Die bloggenden Personen;,die Blogger*innen,The bloggers
27,Die Veteranen,Die Veteraninnen,Die Altgedienten; die ehemaligen Kriegsteilnehmenden,die Veteran*innen,The veterans;
28,Die Spender,Die Spenderinnen,Die Gebenden; Sponsoring; Spenden,die Spender*innen,The donors
29,Die Mitbürger,Die Mitbürgerinnen,Die Mitmenschen,die Mitbürger*innen,The fellow citizens
30,Die Notare,Die Notarinnen,Die notariell arbeitenden Personen,die Notar*innen,The notaries
31,Die Reisende,Die Reisende,Die reisenden Personen,die Reisenden,The travellers
32,Die Schülervertreter,Die Schülervertreterinnen,Die Lernendenvertretung,die Schülervertreter*innen,The student representatives
33,Die Diabetiker,Die Diabetikerinnen,Die Menschen mit Diabetes; die Diabetes erkrankten Personen,die Diabetiker*innen,The diabetics
34,Die Sachbearbeiter,Die Sachbearbeiterinnen,Die Verwaltungskräfte,die Sachbearbeiter*innen,The administrators
35,Die Juden,Die Juden,Die Menschen jüdischen Glaubens; die jüdischen Menschen; die Mitglieder der jüdischen Gemeinschaft ,die Jud*innen,The Jews
36,Die Sekretäre,Die Sekretärinnen,Die Verwaltungskräfte; die Verwaltungsfachangestellten;  die Assistenzen; die Schreibkräfte;  die Bürokräfte,die Sekräter*innen,The secretaries
37,Die Bauträger,Die Bauträgerinnen,Die für den Bau verantwortlichen Firmen,die Bauträger*innen,The builders
38,Die Vollstreckungsschuldner,Die Vollstreckungsschuldnerinnen,,die Vollstreckungsschuldner*innen,The enforcement debtors
39,Die Präsidenten,Die Präsidentinnen,Die Staatsoberhäupter; die Vorsitzen,die Präsident*innen,The presidents;
40,Die Seelsorger,Die Seelsorgerinnen,,die Seelsorger*innen,The pastors
41,Die Steuerberater,Die Steuerberaterinnen,Die Steuerberatungen; die Steuerkanzleien; die zu Steuern beratenden Personen,die Steuerberater*innen,The tax consultants
42,Die Einflussnehmer,Die Einflussnehmerinnen,Die Einflussnehmenden,die Einflussnehmer*innen,The influencers
43,Die Direktoren,Die Direktorinnen,Die Leitungen; die Schulleitungen; Institutsleitungen; Museumsleitungen,die Direktor*innen,The directors
44,Die Kläger,Die Klägerinnen,Die klagenden Personen,die Kläger*innen,The prosecutors
45,Die Xylophonspieler,Die Xylophonspielerinnen,Die Xylophon-Spielenden,die Xylophonspieler*innen,The xylophone players
46,Die Hauswarte,Die Hauswartinnen,Die Hauswartungen,die Hauswart*innen,The custodians
47,Die Darsteller,Die Darstellerinnen,Die Rollen; die Besetzungen; die Darstellenden,die Darsteller*innen,The performers
48,Die Ausbilder,Die Ausbilderinnen,Die ausbildenden Betriebe; Lehrkräfte,die Ausbilder*innen,The trainers
50,Die Personalentwickler,Die Personalentwicklerinnen,Die Personalentwicklungen,die Personalentwickler*innen,The personnel development managers
51,Die Maler,Die Malerinnen,Die werkschaffenden Personen der Malerei; die wandgestaltenden Personen,die Maler*innen,The painters
52,Die Projektleiter,Die Projektleiterinnen,Die Projektleitungen,die Projektleiter*innen,The project leaders
53,Die Dolmetscher,Die Dolmetscherinnen,Die dolmetschenden Fachkräfte,die Dolmetscher*innen,The interpreters
54,Die Betreuer,Die Betreuerinnen,Die Betreuungspersonen,die Betreuer*innen,The tutors
55,Die Betreuer,Die Betreuerinnen,Die Betreuungspersonen,die Betreuer*innen,The supervisors
56,Die Fürsprecher,Die Fürsprecherinnen,Die Mitwirkende; die Beteiligten; die Befürwortende; das Support; die Supportenden;,die Fürsprecher*innen,The advocates
57,Die Laien,Die Laiinnen,Die Menschen ohne Fachkenntnisse; die fachunkundigen Personen; die fachfremden Personen,die Lai*innen,The laypeople
58,Die Kommentatoren,Die Kommentatorinnen,Die Kommentare; die Kommentare von Medienschaffenden,die Kommentator*innen,The commentators;
59,Die Vermittler,Die Vermittlerinnen,Die Mittelspersonen,die Vermittler*innen,The intermediaries
61,Die Reformer,Die Reformerinnen,Die Reformierenden,die Reformer*innen,The reformers
62,Die Ermittler,Die Ermittlerinnen,Die Ermittelnden; das Ermittlungsteam,die Ermittler*innen,The investigators;
63,Die Betreiber,Die Betreiberinnen,Die Betriebsgesellschaft; die betreibenden Firmen; die Betriebe,die Betreiber*innen,The operators
65,Die Gastgeber,Die Gastgeberinnen,Die Einladenden,die Gastgeber*innen,The hosts
66,Die Beteiligte,Die Beteiligte,,die Beteiligten,The participants
67,Die Verbraucherschützer,Die Verbraucherschützerinnen,Die mit dem Verbraucherschutz beauftragten Personen,die Verbraucherschützer*innen,The consumer advisors
68,Die Rechtsanwälte,Die Rechtsanwältinnen,Die Rechtsbeistände; die Mitglied der Rechtsanwaltschaft; die Rechtsvertretungen,die Rechtsanwält*innen,The lawyers
69,Die Rechnungsempfänger,Die Rechnungsempfängerinnen,Die Rechnungsempfangenden; die Rechnungserhaltenden,die Rechnungsempfänger*innen,The invoice recipients
71,Die Übungsleiter,Die Übungsleiterinnen,Die sportlichen Anleitungen; die anleitenden Personen,die Übungleiter*innen,The trainers
72,Die Statisten,Die Statistinnen,Die stummen Rollen; die Personen ohne Sprechrolle; die Nebenfiguren,die Statist*innen,The background actors
73,Die Spekulanten,Die Spekulantinnen,Die spekulierenden Personen,die Spekulant*innen,The speculators
74,Die Ökonomen,Die Ökonominnen,Die ökonomisch Ausgebildeten,die Ökonom*innen,The economists
75,Die Anfänger,Die Anfängerinnen,Die Unerfahrenen; die Menschen ohne Vorkenntnisse; die Menschen ohne Vorerfahrung; die Beginnenden; die Neulingen,die Anfänger*innen,The beginners
76,Die Versuchsleiter,Die Versuchsleiterinnen,Die Versuchsleitungen,die Versuchtsleiter*innen,The investigators
77,Die Zeitgenossen,Die Zeitgenossinnen,Die Mitmenschen,die Zeitgenoss*innen,The contemporaries
78,Die Forstwarte,Die Forstwartinnen,Die Forstaufsichten,die Forstwart*innen,The forest keepers
80,Die Juristen,Die Juristinnen,Die Person mit juristischer Ausbildung; Person mit juristischem Sachverstand,die Jurist*innen,The jurists
81,Die User,Die Userinnen,Die Nutzenden,Die User*innen,The users
82,Die Sprecher,Die Sprecherinnen,Die Sprechenden; die Sprachbenutzenden,die Sprecher*innen,The speakers
83,Die Nebenmänner,Die Nebenfrauen,Die nebenstehenden Personen,die Nebenperson,The neighbors
85,Die Meinungsführer,Die Meinungsführerinnen,Die meinungsführenden Personen,die Meinungsführer*innen,The opinion leaders
86,Die Mechaniker,Die Mechanikerinnen,Die Fachkräfte für Mechanik,die Mechaniker*innen,The mechanics
87,Die Mitläufer,Die Mitläuferinnen,Die Folge leistenden Personen; die involvierten Personen; die passiven Rollen; die mitlaufende Personen,die Mitläufer*innen,The fellow runners
88,Die Enthusiasten,Die Enthusiastinnen,Die Begeisterten,die Enthusiast*innen,The enthusiasts
89,Die Sender,Die Senderinnen,gesendet von,die Sender*innen,The senders
90,Die Illustratoren,Die Illustratorinnen,Die Illustrierenden,die Illustrator*innen,The illustrators
91,Die Extremisten,Die Extremistinnen,Die radikalisierten Personen,die Extremist*innen,The extremists
92,Die Minister,Die Ministerinnen,Die Ressortleitungen,die Minister*innen,The ministers
93,Die Privatpatienten,Die Privatpatientinnen,Die privatversicherten Person; die Personen mit privater Krankenversicherung,die Privatpatient*innen,The private patients
94,Die Callcenteroperatoren,Die Callcenteroperatorinnen,Die callcenteroperierenden Personen,die Callcenteroperator*innen,The call center operators
95,Die Leser,Die Leserinnen,Die lesenden Persone,die Leser*innen,The readers
96,Die Praktiker,Die Praktikerinnen,Die Praktizierenden; die Leute aus der Praxis; die praktisch veranlagten Menschen,die Praktiker*innen,The practitioners
97,Die Sklavenhalter,Die Sklavenhalterinnen,Die Sklaverei Ausführenden,die Sklavenhälter*innen,The slave holders
98,Die Teamleiter,Die Teamleiterinnen,Die Teamleitungen,die Teamleiter*innen,The team leaders
99,Die Steinmetze,Die Steinmetzinnen,Die Stein bearbeitenden Personen,die Steinmetz*innen,The stonecutters
100,Die Obmänner,Die Obfrauen,Die Obmenschen; die schiedsrichtenden Person,die Obmenschen,The chairpeople
101,Die Parteichefs,Die Parteichefinnen,Die Parteivorsitze,die Perteichef*innen,The party leaders
102,Die Respondenten,Die Respondentinnen,,die Respondent*innen,The respondents
103,Die Neueinsteiger,Die Neueinsteigerinnen,Die Nachwüchse; die neun im Geschäft; die unerfahrenen Person; die Menschen ohne Vorkenntnisse,die Neueinsteiger*innen,The newcomers
104,Die Arbeitnehmervertreter,Die Arbeitnehmervertreterinnen,Die Arbeitnehmendenvertretungen; die Betriebsräte; die Personalräte; die Beschäftigtenvertretungen,die Arbeitnehmervertreter*innen,The employee representatives
105,Die Beamten,Die Beamtinnen,Die Bediensteten; die Beamtenschaft; die Beamtenschaften,die Beamt*innen,The civil servants
106,Die Sportfreunde,Die Sportfreundinnen,Die Mitglieder des Vereins,die Sportfreund*innen,The sportspeople
107,Die Arbeiter,Die Arbeiterinnen,Die Arbeitskräfte,die Arbeiter*innen,The workers
108,Die Segler,Die Seglerinnen,Die segelndeen Personen; die Personen im Segelsport,die Segler*innen,The sailors
110,Die Klienten,Die Klientinnen,Die ratsuchenden Personen; die Beratung in Anspruch nehmenden Personen,die Klient*innen,The clients
111,Die Freiberufler,Die Freiberuflerinnen,Die freiberuflich arbeitenden Personen;  die freischaffenden Personen,die Freiberufler*innen,The freelancers
113,Die Friseur,Die Friseurinnen,Die frisierenden Personen; der Frisiersalon; die Frisiersalone,die Friseur*innen,The hairdressers
114,Die Kameramänner,Die Kamerafrauen,Das Kamerateam; die Kameraleute; Kamerapersonen,die Kamerapersonen,The camera operators
115,Die Angehörige,Die Angehörige,Die Familienmitglieder; Mitglieder von,die Angehörigen,The relatives
116,Die Organspender,Die Organspenderinnen,Die Organspendenden; die organspendenden Personen,die Organspender*innen,The organ donors
117,Die Produzenten,Die Produzentinnen,Die die Produktionsleitung innehabenden Personen,die Produzent*innen,The producers
118,Die Stimmungsanimateure,Die Stimmungsanimateurinnen,Die Stimmungsunterhaltenden,die Stimmungsanimateur*innen,The mood animators
119,Die Dienstherren,Die Dienstfrauen,Die Dienstaufsichtspersonen; die Dienstbehörden,die Dienstaufsichtspersonen,The employers
120,Die Gutachter,Die Gutachterinnen,Die Sachverständigen; die Begutachtenden,die Gutachter*innen,The experts
121,Die Spezialisten,Die Spezialistinnen,Die Sachkundigen;  die Fachleute; die Sachverständigen,die Spezialist*innen,The specialists
122,Die Sozialarbeiter,Die Sozialarbeiterinnen,Die Sozialarbeitenden; die Fachkräfte der Sozialen Arbeit,die Sozialarbeiter*innen,The social workers
123,Die Partner,Die Partnerinnen,,die Partner*innen,The partners
124,Die Kindergärtner,Die Kindergärtnerinnen,Die pädagogische Fachkräfte; die Erziehungskräfte; die Kita-Fachkräfte,die Kindergärtner*innen,The kindergarten teachers
125,Die Kaufmänner,Die Kauffrauen,Die Kaufleute,die Kaufpersonen,The businesspeople
127,Die Verlierer,Die Verliererinnen,,die Verlierer*innen,The losers
128,Die Pensionäre,Die Pensionärinnen,Die Pensionierten,die Pensionär*innen,The pensioners